,Datetime,Horse,Type,Location,Price,Midpoint Price,Venue,Midpoint Percentage,SELECTION_NAME,WIN_LOSE,BSP,Turnover
17,04-01-2023,Little Olivia,RaceType.GREYHOUND_RACE,AUS,4.8,4.415384615384616,Taree,0.9198717948717949,Little Olivia,0,3.165694706750465,151.62548649320397
18,04-01-2023,Magnetic Prince,RaceType.HORSE_RACE,AUS,8.0,7.70625,Geelong,0.96328125,Magnetic Prince,0,8.8,90.9090909090909
19,04-01-2023,Rosalia,RaceType.HORSE_RACE,AUS,6.5,6.287472527472528,Geelong,0.9673034657650044,Rosalia,2,7.883091937486752,82.45495614595481
20,04-01-2023,Sachem,RaceType.HORSE_RACE,AUS,3.7,3.648341232227488,Geelong,0.9860381708722941,Sachem,0,3.8532366602907775,96.02317029031865
21,04-01-2023,Tabasco Lad,RaceType.GREYHOUND_RACE,AUS,2.6,2.5421428571428573,The Meadows,0.9777472527472527,Tabasco Lad,0,2.24,116.07142857142856
22,04-01-2023,Tralee Revenge,RaceType.GREYHOUND_RACE,AUS,1.55,1.5225,Taree,0.982258064516129,Tralee Revenge,1,1.5228150818067658,101.78517526638757
23,04-01-2023,Tramontana,RaceType.HORSE_RACE,AUS,8.0,7.76140350877193,Geelong,0.9701754385964912,Tramontana,0,7.45678659752386,107.28481894139928
24,04-01-2023,Worry Less,RaceType.GREYHOUND_RACE,AUS,4.2,4.0,The Meadows,0.9523809523809523,Worry Less,1,3.98619874321761,105.36353730847378
25,05-01-2023,Becks Monelli,RaceType.GREYHOUND_RACE,AUS,1.55,1.548888888888889,Angle Park,0.9992831541218639,Becks Monelli,1,1.5070293658086302,102.85134683943686
26,05-01-2023,Bejiggity,RaceType.TROT_RACE,AUS,6.5,6.556862745098039,Redcliffe,1.0087481146304675,Bejiggity,1,6.275477855447679,103.57776968900329
