,Maddys Girl,Andos A Thief,Miss Mel,Cashmere Kaos,Book Of Love,Deep Sapphire,Shes A Sully
04-01-2023 14:29:04.088808,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:05.230055,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:06.270550,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:07.390827,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:08.551312,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:09.732489,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:10.873547,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:12.006109,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:13.097506,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:14.172281,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:15.295548,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:17.160100,"(14.0, 34.0, 30.916666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
04-01-2023 14:29:18.616035,"(14.0, 34.0, 30.916666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
