,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:34:02.519805,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:34:03.833218,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.871428571428572)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 47.5)"
15-12-2022 13:34:04.838190,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.85)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 47.5)"
15-12-2022 13:34:05.805962,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.883333333333333)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:06.871361,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.883333333333333)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:08.039391,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:09.196769,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:10.249641,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:11.475831,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 18.5, 17.333333333333332)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:12.641120,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 19.5, 17.333333333333332)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:13.630015,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 19.5, 17.666666666666668)","(31.0, 70.0, 46.0)"
15-12-2022 13:34:14.609990,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:15.664912,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:16.681767,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:17.650172,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:18.632137,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:19.614690,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:20.573130,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:21.711054,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.947058823529412)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 17.666666666666668)","(31.0, 70.0, 66.38709677419355)"
15-12-2022 13:34:22.732762,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 15.8)","(31.0, 70.0, 62.7)"
15-12-2022 13:34:23.772504,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 20.0, 15.6)","(31.0, 65.0, 62.7)"
15-12-2022 13:34:24.815853,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 19.5, 15.6)","(31.0, 65.0, 62.7)"
15-12-2022 13:34:25.824376,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 19.5, 15.6)","(31.0, 65.0, 62.7)"
15-12-2022 13:34:26.809435,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.82, 2.784444444444444)","(9.0, 14.5, 13.9)","(10.0, 19.5, 15.6)","(31.0, 65.0, 62.7)"
