,Lucky Fernando,Dewana Scotch,Dewana Burger,Deep Fever,Zippy Audi,Fabriola Yanis,Apache Shout,Arkansas
14-12-2022 19:21:25.433854,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 38.33333333333333)"
14-12-2022 19:21:26.668593,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:27.825804,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:29.050845,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:30.106481,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:31.077794,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:32.183833,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:33.333938,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:34.436960,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:35.591345,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 25.0)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:36.745457,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 29.0, 24.25)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
