,Cornish Smuggler,Rambunctious,Illawong Danny,Wichita Kansas,Good Feelings,River Patrol Nz,Layden,Spicey Major,Starzzz Destiny
11-01-2023 20:15:24.853958,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:26.497125,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:28.125783,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:29.477297,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 3.81)","(2.8, 3.95, 3.880769230769231)"
11-01-2023 20:15:30.869731,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.8, 3.8000000000000003)","(2.8, 3.95, 3.8857142857142857)"
11-01-2023 20:15:32.302930,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.8, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:33.760410,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.7, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:35.175399,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.7, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:36.577233,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.7, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:38.005113,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.7, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:39.384792,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.933333333333333)","(3.5, 4.7, 4.1000000000000005)","(2.8, 3.95, 3.8285714285714287)"
11-01-2023 20:15:40.799684,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.699999999999999)","(3.5, 4.7, 4.5)","(2.8, 3.95, 3.65)"
11-01-2023 20:15:42.168477,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.333333333333333)","(3.5, 4.9, 4.385714285714286)","(2.8, 3.95, 3.85)"
11-01-2023 20:15:43.538871,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.8, 8.433333333333334)","(3.5, 4.9, 4.188888888888889)","(2.8, 3.95, 3.89)"
11-01-2023 20:15:44.872195,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.8, 8.466666666666667)","(3.5, 4.8, 3.8833333333333333)","(2.8, 3.95, 3.880769230769231)"
11-01-2023 20:15:46.219108,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.8)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.8, 8.466666666666667)","(3.5, 4.8, 3.8833333333333333)","(2.8, 3.95, 3.880769230769231)"
