,Shes Roses,Lektra Dish,Blazin Cool,Devils Spirit,Mt View Jewel,Dr Earnie,Establishment
07-01-2023 09:56:16.428824,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:17.414324,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:18.406695,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:19.432160,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:20.526646,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:21.542441,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:22.461586,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:23.477754,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:24.544732,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:25.504869,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
