,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:57:16.815737,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:17.881264,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:19.054436,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:20.134648,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:21.183099,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:22.293220,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:23.425262,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:24.449834,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 12.39090909090909)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:25.481941,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 9.033333333333333)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:26.603806,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 9.033333333333333)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
