,Emmas Portrait,Pyrenees Blazer,Cruising Loren,Philip Marlowe,Another Six,Ranger Ricksen,Jellybean Jam,Aston Zabbar
16-12-2022 13:16:02.833199,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:03.976583,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:05.247885,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:06.350413,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:07.491251,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:08.613064,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:09.754064,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:10.868077,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:12.041918,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:13.254252,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:14.444341,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:15.534411,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:16.718424,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 128.28571428571428)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
