,Vidris Bale,Scarlett Express,Malibu Bale,She Devil,Riverdale Bud,Judys Redeemer,Tiggerlong Egg
10-01-2023 14:23:42.315011,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.633333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:43.504100,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.633333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:44.739252,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 12.5)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:46.074951,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:47.344005,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.4619999999999997)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:48.576384,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.4619999999999997)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:49.869006,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.894)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:51.186233,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.894)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:52.437850,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:53.577246,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:54.763334,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:56.064930,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:57.284902,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:58.623308,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:59.970502,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:01.352533,"(3.6, 8.0, 6.742857142857144)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:02.810030,"(3.6, 8.0, 6.742857142857144)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.442105263157895)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:04.273222,"(3.6, 8.0, 6.742857142857144)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 7.815384615384615)","(20.0, 200.0, 139.66666666666669)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:05.501366,"(3.6, 8.0, 6.742857142857144)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 7.815384615384615)","(20.0, 200.0, 139.66666666666669)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:06.713551,"(3.6, 8.0, 6.742857142857144)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 7.815384615384615)","(20.0, 200.0, 139.66666666666669)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:08.079617,"(3.6, 7.6, 5.0285714285714285)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 7.815384615384615)","(20.0, 200.0, 139.66666666666669)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:24:09.583706,"(3.6, 7.6, 5.0285714285714285)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 7.815384615384615)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 6.733333333333333)"
10-01-2023 14:24:10.973397,"(3.6, 7.6, 5.0285714285714285)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 6.870588235294118)","(20.0, 200.0, 79.66666666666666)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.800000000000001)"
10-01-2023 14:24:12.225022,"(3.6, 7.6, 5.0285714285714285)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 6.870588235294118)","(20.0, 200.0, 79.66666666666666)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.76)"
10-01-2023 14:24:13.483966,"(3.6, 7.6, 5.0285714285714285)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 6.870588235294118)","(20.0, 200.0, 79.66666666666666)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 6.6)"
10-01-2023 14:24:14.763199,"(3.6, 7.4, 5.5)","(7.5, 15.5, 13.357142857142858)","(13.0, 28.0, 16.0)","(3.9, 9.6, 6.870588235294118)","(20.0, 200.0, 79.66666666666666)","(3.0, 4.0, 3.4447619047619047)","(5.0, 9.0, 7.4)"
