,Evanlee,Mechanics Kismet,Lamont Bale,Our Watto,Forcefully,Sonic Sammy
12-01-2023 15:22:25.481372,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:26.394828,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:27.305186,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:28.241308,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:29.181750,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:30.100824,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:31.030624,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:31.949329,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:32.912902,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:33.844893,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:34.784292,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:35.761156,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:36.780657,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:37.745882,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:38.709681,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:39.698348,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:40.721431,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:41.780754,"(15.0, 38.0, 31.625)","(5.5, 11.0, 7.071428571428571)","(4.4, 8.6, 6.118181818181818)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
