,Choir Boy,Dixon Bay,Sarodec,Liability,Elected,Hokahey,Ready For Better,Wickedn Lovinit
08-01-2023 13:45:04.963311,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.2, 4.325)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:06.169114,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.2, 4.325)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:07.393187,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.2, 4.325)","(4.6, 5.4, 5.179166666666667)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:08.576099,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.2, 4.325)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:09.778918,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.2, 4.325)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:10.881389,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.751999999999999)","(3.3, 5.2, 4.325)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:11.989803,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.813793103448276)","(3.3, 5.2, 4.325)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:13.125460,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.813793103448276)","(3.3, 5.2, 4.325)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:14.262573,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.602941176470589)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:15.389108,"(5.5, 8.6, 8.25)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.602941176470589)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:16.415441,"(5.5, 8.6, 8.25)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.602941176470589)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:17.518125,"(5.5, 8.6, 8.25)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.602941176470589)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.4)"
08-01-2023 13:45:18.742140,"(5.5, 8.6, 8.25)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.6925)","(4.6, 5.2, 5.177777777777778)","(8.5, 10.0, 9.742857142857142)"
08-01-2023 13:45:19.974518,"(5.5, 8.6, 8.25)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 80.0)","(5.0, 7.0, 6.733333333333333)","(6.5, 9.2, 8.733333333333333)","(3.3, 5.2, 4.2)","(4.6, 5.2, 5.097560975609756)","(8.5, 10.0, 9.742857142857142)"
