,Avery Blue,Mischievous Curlin,Rose Dawson,Luxury Liner,The Great Haynes,Sheza Girly Girl,Shezarunaway,Angels Advocate
08-01-2023 09:51:58.342696,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:59.484987,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:00.635824,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:01.800629,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:02.970538,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:04.133426,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:05.270571,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:06.420249,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:07.576366,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:52:08.730647,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
