,Im Ready Jet,Majestuoso Nz,Hopeful Beauty Fra,Always Ready,Aldebaran Zeus,Sleepee,Sundons Courage,Ollivici Nz,Nephew Of Sonoko,Keayang Livana
07-01-2023 18:53:59.280903,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:00.874163,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:02.256504,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:03.607496,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:04.984859,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:06.405664,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:07.733543,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:09.116200,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:10.462773,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.32857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:54:11.784977,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 12.0, 10.514285714285714)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
