,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:44:07.914288,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:08.800298,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:09.737152,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:10.575946,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:11.386421,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:12.212972,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:13.112828,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:14.066188,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:14.943511,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:15.791127,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:16.629585,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:17.512280,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
