,Soho Rhapsody,Foolish Pleasure,Rosarito Miss,Villacci,Celestial Gossip,Relentless Me,Captain Bellasario,Knights Templar
07-12-2022 18:54:55.413742,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:56.698500,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:58.145789,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:59.452952,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:55:00.874056,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:55:02.250618,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:55:03.855511,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:55:05.421608,"(7.0, 11.0, 10.066666666666666)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.4583333333333335)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:55:06.805328,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.44)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:08.200085,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.44)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:09.478437,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.44)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:10.744028,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.44)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:11.981958,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 77.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.44)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:13.139694,"(7.0, 11.0, 10.4)","(31.0, 80.0, 70.28571428571428)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 95.0, 74.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.453333333333333)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:14.332524,"(7.0, 11.0, 10.4)","(31.0, 80.0, 67.33333333333333)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 90.0, 74.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.453333333333333)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:15.588849,"(7.0, 11.0, 10.4)","(31.0, 80.0, 67.33333333333333)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 90.0, 74.0)","(3.3, 3.95, 3.8000000000000003)","(1.9, 2.48, 2.453333333333333)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:16.833157,"(7.0, 11.0, 10.4)","(31.0, 80.0, 67.33333333333333)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 90.0, 74.0)","(3.3, 3.95, 3.8000000000000003)","(1.9, 2.48, 2.453333333333333)","(6.5, 9.8, 9.061538461538461)"
07-12-2022 18:55:18.053166,"(7.0, 11.0, 10.4)","(31.0, 80.0, 67.33333333333333)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 90.0, 74.0)","(3.3, 3.95, 3.8000000000000003)","(1.9, 2.48, 2.453333333333333)","(6.5, 9.8, 9.061538461538461)"
