,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:23:57.622308,"(12.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.792)","(12.0, 12.5, 12.87248322147651)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.218181818181819)"
07-01-2023 12:23:58.636998,"(12.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.792)","(12.0, 13.0, 12.921985815602836)","(6.5, 7.4, 7.2444444444444445)","(8.0, 9.4, 9.218181818181819)"
07-01-2023 12:23:59.738255,"(12.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.793757225433526)","(12.0, 13.0, 12.921985815602836)","(6.5, 7.4, 7.2444444444444445)","(8.0, 9.4, 9.218181818181819)"
07-01-2023 12:24:00.887104,"(12.0, 12.0, 11.909090909090908)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.78, 2.7776969696969696)","(12.0, 13.0, 12.921985815602836)","(6.5, 7.4, 7.286666666666667)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:01.967996,"(11.0, 12.0, 11.909090909090908)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.78, 2.7776969696969696)","(12.0, 13.0, 12.921985815602836)","(6.5, 7.4, 7.286666666666667)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:03.059621,"(11.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.78, 2.7776969696969696)","(12.0, 13.0, 12.921985815602836)","(6.5, 7.4, 7.286666666666667)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:04.156735,"(11.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.15)","(2.4, 2.78, 2.793757225433526)","(12.0, 13.0, 13.25438596491228)","(6.5, 7.4, 6.897142857142857)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:05.180249,"(11.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.15)","(2.4, 2.8, 2.793757225433526)","(12.0, 13.5, 13.28125)","(6.5, 7.0, 6.711111111111111)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:06.250558,"(11.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.137037037037037)","(2.4, 2.8, 2.7883478260869565)","(12.0, 13.5, 13.352941176470589)","(6.5, 6.8, 6.63)","(8.0, 9.4, 9.16470588235294)"
07-01-2023 12:24:07.361940,"(11.0, 12.5, 11.714285714285714)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.143478260869565)","(2.4, 2.82, 2.804597701149425)","(12.0, 13.5, 13.25)","(6.5, 6.8, 6.5875)","(8.0, 9.4, 8.867532467532468)"
07-01-2023 12:24:08.487409,"(11.0, 12.0, 11.947019867549669)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.143478260869565)","(2.4, 2.82, 2.852258064516129)","(12.0, 13.5, 13.31578947368421)","(6.5, 6.8, 6.522222222222222)","(8.0, 9.2, 8.933333333333334)"
07-01-2023 12:24:09.590366,"(11.0, 12.0, 11.948387096774194)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.171428571428572)","(2.4, 2.86, 2.8746153846153844)","(12.0, 13.5, 13.31578947368421)","(6.5, 6.6, 6.363636363636364)","(8.0, 9.0, 8.844444444444445)"
07-01-2023 12:24:10.713160,"(11.0, 12.0, 11.826086956521738)","(71.0, 100.0, 80.0)","(51.0, 85.0, 81.66666666666667)","(3.5, 5.2, 5.165)","(2.4, 2.88, 2.8912820512820514)","(12.0, 13.5, 13.24468085106383)","(6.5, 6.4, 6.364102564102565)","(8.0, 9.2, 8.957894736842105)"
07-01-2023 12:24:11.858104,"(11.0, 12.0, 11.89655172413793)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 81.66666666666667)","(3.5, 5.2, 5.165)","(2.4, 2.9, 2.8821052631578947)","(12.0, 13.5, 13.24468085106383)","(6.5, 6.4, 6.364102564102565)","(8.0, 9.0, 8.957894736842105)"
07-01-2023 12:24:12.927214,"(11.0, 12.0, 11.89655172413793)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 81.66666666666667)","(3.5, 5.2, 5.165)","(2.4, 2.9, 2.8982608695652172)","(12.0, 13.5, 13.24468085106383)","(6.5, 6.4, 6.364102564102565)","(8.0, 9.0, 8.957894736842105)"
07-01-2023 12:24:14.008061,"(11.0, 12.0, 11.89655172413793)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 81.66666666666667)","(3.5, 5.2, 5.165)","(2.4, 2.92, 2.8982608695652172)","(12.0, 13.5, 13.24468085106383)","(6.5, 6.4, 6.383333333333334)","(8.0, 9.0, 8.957894736842105)"
07-01-2023 12:24:15.081594,"(11.0, 12.0, 11.89655172413793)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 81.66666666666667)","(3.5, 5.2, 5.165)","(2.4, 2.92, 2.895609756097561)","(12.0, 13.5, 13.24468085106383)","(6.5, 6.4, 6.383333333333334)","(8.0, 9.0, 8.957894736842105)"
