,El Cordobes,Trodaire,Euro Dandy,Girello,Indifference,Magnetic Prince,Piaggio,Montjeuify
04-01-2023 13:48:03.256893,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.0)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 19.75)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:04.329583,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.0)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.77377049180328)","(15.0, 20.0, 19.666666666666668)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:05.369505,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 22.637931034482758)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.1, 3.0800766283524905)","(7.5, 8.8, 8.77377049180328)","(15.0, 20.0, 19.666666666666668)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:06.446552,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 22.637931034482758)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.1, 3.05)","(7.5, 8.8, 8.76842105263158)","(15.0, 20.0, 18.75)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:07.548854,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.814285714285715)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.05, 3.0248031496062993)","(7.5, 8.8, 8.76842105263158)","(15.0, 20.0, 18.75)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:08.798051,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.825)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.05, 3.017261904761905)","(7.5, 8.8, 8.76842105263158)","(15.0, 20.0, 18.75)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:10.012057,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.825)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.05, 3.0168421052631578)","(7.5, 8.8, 8.745454545454546)","(15.0, 20.0, 18.75)","(71.0, 170.0, 134.0)"
04-01-2023 13:48:11.234888,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.825)","(6.5, 8.4, 8.391304347826088)","(2.6, 3.05, 3.0580110497237567)","(7.5, 8.8, 8.715555555555556)","(15.0, 20.0, 18.0)","(71.0, 170.0, 134.0)"
04-01-2023 13:48:12.349814,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.825)","(6.5, 8.4, 8.346666666666668)","(2.6, 3.1, 3.086231884057971)","(7.5, 8.8, 8.715555555555556)","(15.0, 20.0, 17.8125)","(71.0, 170.0, 134.0)"
04-01-2023 13:48:13.538504,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.814285714285715)","(6.5, 8.4, 8.346666666666668)","(2.6, 3.1, 3.129213483146067)","(7.5, 8.8, 8.674418604651162)","(15.0, 20.0, 17.916666666666668)","(71.0, 170.0, 134.0)"
04-01-2023 13:48:14.625629,"(5.5, 8.0, 7.8382978723404255)","(17.0, 23.0, 21.5)","(4.0, 4.9, 4.8)","(6.5, 8.4, 8.346666666666668)","(2.6, 3.15, 3.1404513888888888)","(7.5, 8.8, 8.455555555555556)","(15.0, 20.0, 17.916666666666668)","(71.0, 170.0, 134.0)"
04-01-2023 13:48:15.745046,"(5.5, 8.0, 7.8382978723404255)","(16.0, 23.0, 21.5)","(4.0, 4.8, 4.757142857142857)","(6.5, 8.4, 8.346666666666668)","(2.6, 3.15, 3.1419520547945203)","(7.5, 8.6, 8.422727272727274)","(14.0, 20.0, 16.083333333333332)","(71.0, 170.0, 134.0)"
