,Haras Pearl,Stolen Moment,Jack Spot,Mad Max Blue,Fire Flick,Uncle Charlie,Dairy Girl
04-01-2023 13:54:48.545533,"(2.45, 2.98, 2.7729411764705882)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.979)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:49.463674,"(2.45, 2.96, 2.778181818181818)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:50.434394,"(2.45, 2.96, 2.778181818181818)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:51.420300,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 15.2)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:52.505034,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 15.2)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:53.454995,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 15.2)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:54.461393,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 15.2)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:55.504430,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 15.2)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:56.508400,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:57.460540,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:58.493049,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:59.503727,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:00.545445,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:01.677183,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:02.672685,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:03.681961,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:04.690349,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
04-01-2023 13:55:05.669336,"(2.45, 2.94, 2.78)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9555555555555555)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.666666666666666)","(21.0, 80.0, 44.375)"
