,Blue Ruby,Akuna Street,Rustic Bling,Magic Eclipse,Chasing Jess,Yeah The Boy,Buddys Mate,Diablo Bale
06-01-2023 13:55:53.219764,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 86.875)","(6.0, 12.5, 9.55)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:55:54.394185,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 86.875)","(6.0, 12.5, 9.55)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:55:55.552355,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 86.875)","(6.0, 12.5, 11.175)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:55:57.047960,"(5.5, 9.2, 7.545454545454545)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 86.875)","(6.0, 12.5, 11.440000000000001)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:55:58.436373,"(5.5, 9.2, 7.545454545454545)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 86.875)","(6.0, 12.5, 11.440000000000001)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:55:59.717901,"(5.5, 9.2, 7.545454545454545)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:56:01.058661,"(5.5, 9.2, 7.545454545454545)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
06-01-2023 13:56:02.458132,"(5.5, 9.2, 7.666666666666666)","(4.6, 8.4, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.7, 3.904166666666667)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:03.706365,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 4.961290322580645)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:04.971644,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 4.981249999999999)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:06.169815,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 3.9958333333333336)","(6.0, 10.5, 8.55)","(11.0, 29.0, 18.392857142857142)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:07.395641,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 3.9958333333333336)","(6.0, 10.5, 8.55)","(11.0, 29.0, 18.392857142857142)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:08.581945,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 3.9958333333333336)","(6.0, 10.5, 8.55)","(11.0, 29.0, 18.392857142857142)","(5.0, 9.6, 9.241666666666667)"
06-01-2023 13:56:09.841349,"(5.5, 9.0, 7.666666666666666)","(4.6, 8.2, 6.699999999999999)","(31.0, 170.0, 91.25)","(6.0, 12.5, 11.97)","(3.6, 5.6, 3.9958333333333336)","(6.0, 10.5, 8.55)","(11.0, 29.0, 18.392857142857142)","(5.0, 9.6, 9.241666666666667)"
