,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:30:06.500586,"(3.2, 6.2, 5.75)","(6.5, 9.6, 8.85)","(21.0, 29.0, 25.75)","(14.0, 21.0, 17.625)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.0)","(5.0, 6.6, 5.742857142857142)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.8125)"
11-01-2023 19:30:08.052752,"(3.2, 6.2, 5.75)","(6.5, 9.6, 8.85)","(21.0, 29.0, 25.75)","(14.0, 21.0, 17.625)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.0)","(5.0, 6.6, 5.742857142857142)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.8125)"
11-01-2023 19:30:09.568697,"(3.2, 6.2, 5.75)","(6.5, 9.6, 8.85)","(21.0, 29.0, 27.81818181818182)","(14.0, 21.0, 17.625)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.0)","(5.0, 6.6, 5.742857142857142)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.8125)"
11-01-2023 19:30:11.054716,"(3.2, 6.2, 5.75)","(6.5, 9.6, 8.85)","(21.0, 29.0, 27.81818181818182)","(14.0, 21.0, 17.625)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.0)","(5.0, 6.6, 6.1)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.8125)"
11-01-2023 19:30:12.498362,"(3.2, 6.2, 5.75)","(6.5, 9.6, 9.17142857142857)","(21.0, 29.0, 27.555555555555557)","(14.0, 21.0, 18.142857142857142)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 13.166666666666666)","(5.0, 6.6, 6.1)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.083333333333334)"
11-01-2023 19:30:13.926077,"(3.2, 6.2, 5.75)","(6.5, 9.6, 9.17142857142857)","(21.0, 29.0, 27.555555555555557)","(14.0, 21.0, 18.142857142857142)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 13.166666666666666)","(5.0, 6.6, 6.1)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 12.083333333333334)"
11-01-2023 19:30:15.373304,"(3.2, 6.2, 6.03125)","(6.5, 9.6, 9.299999999999999)","(21.0, 29.0, 27.916666666666664)","(14.0, 21.0, 19.0)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.5)","(5.0, 6.6, 6.377777777777777)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 13.40909090909091)"
11-01-2023 19:30:16.772003,"(3.2, 6.2, 6.03125)","(6.5, 9.6, 9.236363636363636)","(21.0, 29.0, 26.266666666666666)","(14.0, 21.0, 19.0)","(6.0, 9.8, 8.514285714285714)","(12.0, 16.5, 14.722222222222221)","(5.0, 6.6, 6.423529411764705)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 13.40909090909091)"
11-01-2023 19:30:18.094267,"(3.2, 6.2, 6.03125)","(6.5, 9.6, 9.236363636363636)","(21.0, 30.0, 26.266666666666666)","(14.0, 21.0, 19.0)","(6.0, 9.8, 8.709090909090909)","(12.0, 16.5, 14.722222222222221)","(5.0, 6.6, 6.35)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 13.833333333333334)"
11-01-2023 19:30:19.445563,"(3.2, 6.2, 6.03125)","(6.5, 9.6, 9.236363636363636)","(21.0, 30.0, 26.266666666666666)","(14.0, 21.0, 19.0)","(6.0, 9.8, 8.925)","(12.0, 16.5, 14.722222222222221)","(5.0, 6.6, 6.35)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.0, 13.833333333333334)"
