,Fast Foils,Four Outlaws,Badonkidonk,Fifth Husband,Bossy Britches,West Cliff,Red Hot Chillypins,Denominator,Haleakala
04-01-2023 14:35:04.908876,"(31.0, 120.0, 62.4)","(2.9, 4.3, 4.284210526315789)","(2.15, 2.38, 2.368196721311475)","(12.0, 20.0, 17.545454545454547)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:06.130703,"(31.0, 120.0, 62.4)","(2.9, 4.3, 4.1)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 186.66666666666666)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:07.376164,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 240.0, 183.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:08.619916,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 230.0, 183.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:09.784614,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 230.0, 183.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:10.947819,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 230.0, 170.0)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:12.160886,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.272727272727273)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 220.0, 176.66666666666666)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:13.328573,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.857142857142858)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 210.0, 176.66666666666666)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:14.549464,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.857142857142858)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.866666666666667)","(21.0, 40.0, 34.666666666666664)","(101.0, 210.0, 176.66666666666666)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:15.791321,"(31.0, 120.0, 73.33333333333333)","(2.9, 4.3, 4.133333333333333)","(2.15, 2.38, 2.37)","(12.0, 20.0, 17.857142857142858)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.866666666666667)","(21.0, 40.0, 34.666666666666664)","(101.0, 210.0, 176.66666666666666)","(101.0, 180.0, 113.33333333333333)"
