,Quincee Bale,Heffernan Bale,Rita Bale,Settlement Day,Tails Of Woe,Arts Inferno
07-01-2023 20:26:19.511768,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:20.757032,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:22.092488,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:23.376319,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:24.644219,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:25.771682,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:26.937318,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:28.050122,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:29.109507,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:30.202529,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
