,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:33:48.959112,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 19.166666666666668)","(14.0, 24.0, 23.5)","(12.0, 21.0, 19.25)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:50.123136,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 19.166666666666668)","(14.0, 24.0, 23.5)","(12.0, 21.0, 19.25)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:51.315288,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 19.166666666666668)","(14.0, 24.0, 23.5)","(12.0, 21.0, 19.482758620689655)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:52.405863,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 19.166666666666668)","(14.0, 24.0, 23.5)","(12.0, 21.0, 19.482758620689655)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:53.511167,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 19.166666666666668)","(14.0, 24.0, 23.5)","(12.0, 21.0, 23.125)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 130.0, 98.0)"
11-01-2023 13:33:54.600468,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 22.4)","(12.0, 25.0, 23.125)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 98.0)"
11-01-2023 13:33:55.893345,"(2.2, 2.92, 2.8099999999999996)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.32)","(10.0, 19.5, 18.3)","(14.0, 24.0, 22.4)","(12.0, 25.0, 20.0)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 98.0)"
11-01-2023 13:33:57.172611,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.32)","(10.0, 19.5, 18.3)","(14.0, 24.0, 22.4)","(12.0, 25.0, 19.666666666666668)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 98.0)"
11-01-2023 13:33:58.401767,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.32)","(10.0, 19.5, 18.3)","(14.0, 24.0, 22.4)","(12.0, 24.0, 19.666666666666668)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 98.0)"
11-01-2023 13:33:59.617737,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.266666666666667)","(10.0, 19.5, 18.3)","(14.0, 24.0, 22.4)","(12.0, 24.0, 19.666666666666668)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 83.33333333333333)"
11-01-2023 13:34:00.914603,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.266666666666667)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.75)","(12.0, 24.0, 20.25)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 120.0, 92.0)"
11-01-2023 13:34:02.204242,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.266666666666667)","(10.0, 19.5, 18.3)","(14.0, 25.0, 23.75)","(12.0, 23.0, 19.333333333333332)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:03.442105,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.3)","(14.0, 25.0, 23.75)","(12.0, 23.0, 19.7)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 42.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:04.656292,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.3)","(14.0, 25.0, 24.0)","(12.0, 23.0, 19.7)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:05.807349,"(2.2, 2.92, 2.812413793103448)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.75)","(14.0, 25.0, 24.0)","(12.0, 23.0, 20.46153846153846)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:06.981168,"(2.2, 2.9, 2.69)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.75)","(14.0, 25.0, 23.666666666666668)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:08.163143,"(2.2, 2.9, 2.6726315789473687)","(31.0, 60.0, 51.33333333333333)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.25)","(14.0, 25.0, 24.0)","(12.0, 23.0, 21.25)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:09.333639,"(2.2, 2.9, 2.68)","(31.0, 85.0, 60.5)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.5)","(14.0, 25.0, 24.0)","(12.0, 24.0, 20.071428571428573)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:10.851920,"(2.15, 2.9, 2.748421052631579)","(31.0, 80.0, 47.0)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.5)","(14.0, 25.0, 24.0)","(12.0, 24.0, 20.071428571428573)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
11-01-2023 13:34:12.171582,"(2.15, 2.9, 2.748421052631579)","(31.0, 80.0, 47.0)","(5.5, 7.8, 7.25)","(10.0, 19.5, 18.5)","(14.0, 25.0, 24.0)","(12.0, 24.0, 20.071428571428573)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 44.0)","(61.0, 110.0, 80.0)"
