,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:49:20.135781,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:21.340343,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:22.413916,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:23.587139,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:24.804148,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:26.067821,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:27.274112,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:28.406753,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:29.514227,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:30.676319,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:31.853762,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:32.964818,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:34.063239,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:35.201553,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:36.359610,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.167659574468085)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
