,Fat Boy Mantra,Hooked On Prissy,Levis Beach,Bow Six,Greek Malt,Monkey Paw,Loves To Talk
12-01-2023 13:51:38.540024,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:39.643407,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:40.740977,"(4.2, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:41.785251,"(4.2, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:42.934340,"(4.2, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:44.065856,"(4.2, 11.5, 11.428571428571429)","(4.0, 4.4, 4.25)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 30.615384615384617)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 22.46666666666667)"
12-01-2023 13:51:45.007448,"(4.2, 11.5, 11.083333333333334)","(4.0, 4.5, 4.01875)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 30.615384615384617)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 22.46666666666667)"
12-01-2023 13:51:45.945288,"(4.2, 11.5, 11.083333333333334)","(4.0, 4.5, 4.01875)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 30.615384615384617)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 22.46666666666667)"
12-01-2023 13:51:46.939273,"(4.2, 11.5, 11.083333333333334)","(4.0, 4.5, 4.157142857142857)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 30.666666666666668)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 23.588235294117645)"
12-01-2023 13:51:47.923609,"(4.2, 11.5, 11.083333333333334)","(4.0, 4.5, 4.157142857142857)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 30.666666666666668)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7142622950819673)","(15.0, 32.0, 23.588235294117645)"
