,Jimmy The Bear,El Crimp Adore,Real Mickoy,Little Amelia,Behind Greywalls,Shes The One,Magic Bee,Donald Lane
10-01-2023 18:53:08.062220,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:09.325199,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:10.535903,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:11.679856,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:12.813575,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:13.965910,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:15.165092,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:16.397689,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:17.607846,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:18.823715,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:20.034530,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
