,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:45:40.360154,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.0)","(20.0, 95.0, 63.5)","(8.0, 10.5, 9.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.7, 4.492307692307692)","(5.0, 6.2, 6.0875)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:41.566556,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.0)","(20.0, 95.0, 63.5)","(8.0, 10.0, 9.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.8, 4.492307692307692)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:42.654162,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.846153846153847)","(20.0, 95.0, 63.5)","(8.0, 10.0, 8.649999999999999)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.8, 4.492307692307692)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:43.729738,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.688888888888888)","(20.0, 95.0, 63.5)","(8.0, 10.0, 8.649999999999999)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.8, 4.492307692307692)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:45.031936,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.300000000000001)","(20.0, 95.0, 63.5)","(8.0, 10.0, 8.649999999999999)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.8, 4.800000000000001)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:46.201048,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.300000000000001)","(20.0, 95.0, 63.5)","(8.0, 10.0, 8.649999999999999)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.9, 4.345454545454545)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:47.406606,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.666666666666666)","(20.0, 95.0, 63.5)","(8.0, 10.0, 8.05)","(6.5, 8.4, 7.800000000000001)","(4.0, 5.0, 4.279999999999999)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:48.570330,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.890909090909091)","(20.0, 95.0, 74.0)","(8.0, 10.0, 8.05)","(6.5, 8.4, 7.800000000000001)","(4.0, 5.0, 4.38)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:49.701026,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.8307692307692305)","(20.0, 95.0, 74.0)","(8.0, 9.8, 9.0)","(6.5, 8.4, 7.800000000000001)","(4.0, 4.8, 4.38)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:50.805162,"(13.0, 25.0, 18.0)","(4.4, 7.6, 5.9714285714285715)","(20.0, 95.0, 74.0)","(8.0, 9.6, 7.8)","(6.5, 8.4, 7.800000000000001)","(4.0, 4.8, 4.38)","(5.0, 6.2, 5.88)","(9.0, 11.0, 9.533333333333333)"
