,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:09:56.237463,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:09:57.118349,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:09:58.036198,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:09:58.979636,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:10:00.090031,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.94, 1.8314285714285714)","(3.8, 4.6, 4.216666666666667)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:10:01.164013,"(13.0, 36.0, 31.75)","(1.45, 1.93, 1.8864705882352941)","(3.8, 4.5, 4.216666666666667)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
08-01-2023 19:10:02.147954,"(13.0, 36.0, 31.75)","(1.45, 1.93, 1.8864705882352941)","(3.8, 4.5, 3.8333333333333335)","(31.0, 330.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
08-01-2023 19:10:03.061398,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.93, 1.6600000000000001)","(3.8, 4.5, 3.8333333333333335)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
08-01-2023 19:10:03.956689,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.6833333333333333)","(3.8, 4.5, 3.8333333333333335)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
08-01-2023 19:10:04.990576,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.6833333333333333)","(3.8, 4.5, 3.8333333333333335)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
