,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:27:43.785669,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:44.738326,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:45.668440,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:46.685215,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:47.560033,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:48.556412,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:49.588371,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:50.437900,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:51.395631,"(2.6, 3.85, 3.2666666666666666)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.58095238095238)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:52.357308,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.58095238095238)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:53.309172,"(2.6, 3.75, 3.25)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.58095238095238)","(101.0, 730.0, 564.375)","(12.0, 24.0, 20.75)"
