,Reggies Brother,Speed Badke,Calder,Muttons Mates,Desleys Girl,White Snake,Moment Of Glory,Aces Up
07-01-2023 19:18:04.636651,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.375)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 14.5)","(19.0, 50.0, 42.888888888888886)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:05.929908,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 14.75)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:07.170920,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 14.75)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:08.455591,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 16.944444444444443)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:09.783650,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 17.227272727272727)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:11.004193,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 17.227272727272727)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:12.256980,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 19.0, 17.125)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:13.490747,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 19.0, 17.125)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:14.632491,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 19.0, 16.214285714285715)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:15.821829,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 19.0, 16.214285714285715)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:17.032158,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.751111111111111)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.77777777777778)","(5.5, 10.5, 9.5625)","(6.0, 19.0, 16.5)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
07-01-2023 19:18:18.171180,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.751111111111111)","(6.0, 9.8, 6.2444444444444445)","(18.0, 48.0, 44.375)","(5.5, 10.5, 6.677777777777778)","(6.0, 17.5, 16.5)","(19.0, 50.0, 43.6)","(10.0, 18.0, 14.25)"
