,Zouologist,Sizzleonthebridge,Participator,Smugglers Run,Brothers Of Antrim,Pindarras Dream,Saiko,Merc,Gironde,Zarsnip
05-01-2023 16:20:06.793283,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.3125)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:07.945683,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.3125)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:09.140371,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.3125)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:10.342744,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.414285714285715)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 68.75)"
05-01-2023 16:20:11.551468,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.414285714285715)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 68.75)"
05-01-2023 16:20:12.790093,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.142857142857142)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 41.0)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:14.030677,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.142857142857142)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 37.0)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:15.296686,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 69.375)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.67391304347826)","(13.0, 15.0, 14.613636363636363)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.394117647058824)","(18.0, 26.0, 24.181818181818183)","(21.0, 46.0, 37.0)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:16.571261,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 71.53846153846153)","(2.2, 2.28, 2.262613065326633)","(8.5, 19.5, 18.67391304347826)","(13.0, 15.0, 14.613636363636363)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.394117647058824)","(18.0, 26.0, 24.181818181818183)","(21.0, 46.0, 40.0)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:17.807118,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 71.53846153846153)","(2.2, 2.28, 2.262613065326633)","(8.5, 19.5, 18.69047619047619)","(13.0, 15.0, 14.613636363636363)","(18.0, 65.0, 47.75)","(3.7, 4.4, 4.394117647058824)","(18.0, 26.0, 24.181818181818183)","(21.0, 44.0, 40.0)","(31.0, 110.0, 73.33333333333333)"
