,Caribbean Baby,Heavens Baby,Kerrie Be,Singer Snap,Holme Boy,Yarraman Needy,Snack Time Rocks,Boom Boom Boy
11-01-2023 21:36:34.348876,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:35.429773,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:36.505838,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:37.636019,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:38.704182,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:39.752391,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:40.754046,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:41.772867,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:42.789283,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:43.887243,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:45.045595,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:46.123993,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:47.256312,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:48.476969,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:49.657054,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:50.844384,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:51.992221,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:53.236486,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:54.375434,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:55.447421,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:56.430901,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:57.522752,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:58.542126,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
