,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:15:17.654673,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:18.787731,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:20.003900,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:21.227723,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:22.405853,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:23.515606,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:24.581308,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:25.976204,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:27.275566,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 29.285714285714285)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:28.621152,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 29.285714285714285)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:30.005256,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 29.285714285714285)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:31.291452,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 29.285714285714285)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:32.469691,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.875)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:33.597225,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.875)","(8.0, 23.0, 13.875)"
05-01-2023 15:15:34.783580,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 52.5)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:36.043572,"(2.5, 5.0, 3.9299999999999997)","(14.0, 30.0, 25.666666666666664)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:37.271089,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.307692307692307)"
