,Frank Light Year,Whiskey Bob,Redshift Tango,Whacker Wilson,On The Mint,Perseus,Not Afraid,My Maddy
15-12-2022 10:52:59.490230,"(6.0, 7.2, 7.024390243902439)","(6.0, 7.2, 7.1)","(3.2, 4.1, 4.007462686567164)","(5.5, 7.0, 6.986111111111111)","(17.0, 23.0, 22.95294117647059)","(7.0, 9.4, 9.17142857142857)","(51.0, 190.0, 166.0)","(5.0, 6.2, 5.996774193548387)"
15-12-2022 10:53:00.495694,"(6.0, 7.2, 6.9416058394160585)","(6.0, 7.2, 7.1)","(3.2, 4.1, 4.007462686567164)","(5.5, 7.2, 7.146987951807229)","(17.0, 23.0, 22.3125)","(7.0, 9.4, 9.208695652173914)","(51.0, 190.0, 166.0)","(5.0, 6.2, 6.061538461538462)"
15-12-2022 10:53:01.516798,"(6.0, 7.0, 6.79047619047619)","(6.0, 7.4, 7.093023255813954)","(3.2, 4.1, 4.0092592592592595)","(5.5, 7.2, 7.143589743589744)","(17.0, 23.0, 22.3125)","(7.0, 9.4, 9.32)","(51.0, 190.0, 166.0)","(5.0, 6.2, 6.111475409836066)"
15-12-2022 10:53:02.555750,"(6.0, 6.8, 6.533333333333333)","(6.0, 7.4, 7.085106382978723)","(3.2, 4.1, 4.027941176470588)","(5.5, 7.2, 7.143589743589744)","(17.0, 23.0, 22.3125)","(7.0, 9.4, 9.333333333333334)","(51.0, 190.0, 166.0)","(5.0, 6.2, 6.241269841269841)"
15-12-2022 10:53:03.607539,"(6.0, 6.8, 6.518072289156627)","(6.0, 7.4, 7.093023255813954)","(3.2, 4.1, 4.0487179487179485)","(5.5, 7.2, 7.177464788732395)","(17.0, 24.0, 9998.5)","(7.0, 9.4, 9998.5)","(51.0, 190.0, 9998.5)","(5.0, 6.4, 9998.5)"
15-12-2022 10:53:04.650165,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:05.621832,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:06.625884,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:07.591109,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:08.568347,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:09.617878,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:10.768366,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:11.890361,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:12.975987,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:14.070580,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:15.159967,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:16.193891,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
15-12-2022 10:53:17.316378,"(6.0, 99998, 9998.5)","(6.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)","(7.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(5.0, 99998, 9998.5)"
