,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:30:21.734779,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:22.745039,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:24.128646,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:25.399660,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:26.525712,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:27.555031,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:28.474557,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:29.638594,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:30.760700,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:31.928596,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:33.074547,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:34.097319,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:35.129367,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:36.108560,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:37.035855,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:38.013269,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:39.008260,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:40.010508,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:40.987656,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:41.964770,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:42.844972,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:43.932415,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:44.958322,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:46.012657,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 38.0)","(8.0, 12.0, 10.857142857142858)"
