,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:57:11.802854,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:12.926417,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:14.087640,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:15.338743,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:16.395994,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:17.644210,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:18.807949,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:20.023910,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:21.144702,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:22.294380,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:23.363301,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:24.421108,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
09-01-2023 14:57:25.567705,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.307692307692307)"
