,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:24:58.284195,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.142857142857142)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 34.375)"
07-01-2023 17:24:59.257609,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 34.375)"
07-01-2023 17:25:00.264340,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:01.232836,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:02.296074,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:03.312454,"(3.5, 5.2, 4.966666666666667)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:04.352349,"(3.5, 5.2, 4.966666666666667)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:05.306048,"(3.5, 5.2, 4.966666666666667)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:06.305296,"(3.5, 5.2, 4.966666666666667)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 20.0, 14.55)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:07.221628,"(3.5, 5.2, 4.966666666666667)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.5, 14.55)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:25:08.194266,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:09.301524,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:10.286287,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:11.182633,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:12.146514,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:13.097791,"(3.5, 5.5, 4.982608695652174)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:14.062375,"(3.5, 5.6, 5.3999999999999995)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:15.065340,"(3.5, 5.6, 5.3999999999999995)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:16.036848,"(3.5, 5.6, 5.3999999999999995)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.3)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 52.75)"
07-01-2023 17:25:17.012279,"(3.5, 5.6, 5.3999999999999995)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 8.142857142857142)","(10.0, 19.0, 14.781818181818181)","(18.0, 80.0, 64.57142857142858)","(17.0, 65.0, 49.0)"
07-01-2023 17:25:17.963900,"(3.5, 5.6, 5.3999999999999995)","(12.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.0, 9.15)","(10.0, 21.0, 16.1)","(18.0, 80.0, 64.57142857142858)","(17.0, 60.0, 49.0)"
