,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:36:21.803785,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 19.03076923076923)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:23.203142,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 19.03076923076923)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:24.602628,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:25.927317,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:27.273197,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:28.622627,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:30.053261,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:31.424253,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:32.811837,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 17.4)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:34.248358,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 17.4)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:35.705784,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 17.4)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:37.133288,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 18.933333333333334)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:38.677389,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 18.933333333333334)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:40.179460,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 18.933333333333334)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
