,Zambora Opal,Blazing Arnie,Mr Deeds,Fabs Udon,Spring Scout,Charizard,High Action,Marriage Over
07-12-2022 20:44:33.808054,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:34.962129,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:36.281695,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 4.105)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:37.477409,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.9, 4.105)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:38.724036,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.9, 4.105)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:40.044375,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.9, 4.105)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:41.310695,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 39.81818181818181)","(2.8, 4.9, 4.105)","(16.0, 28.0, 18.666666666666668)","(31.0, 220.0, 120.47058823529412)","(81.0, 580.0, 524.4444444444445)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:42.569659,"(5.5, 9.2, 8.67142857142857)","(8.5, 20.0, 10.559999999999999)","(20.0, 90.0, 39.81818181818181)","(2.8, 4.9, 4.105)","(16.0, 28.0, 18.666666666666668)","(31.0, 220.0, 120.47058823529412)","(81.0, 580.0, 524.4444444444445)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:44.004796,"(5.5, 9.2, 8.67142857142857)","(8.5, 20.0, 10.879999999999999)","(20.0, 90.0, 39.81818181818181)","(2.8, 4.9, 4.105)","(16.0, 28.0, 18.666666666666668)","(31.0, 220.0, 120.47058823529412)","(81.0, 580.0, 524.4444444444445)","(2.0, 3.3, 2.731666666666667)"
07-12-2022 20:44:45.402762,"(5.5, 9.2, 8.67142857142857)","(8.5, 20.0, 10.879999999999999)","(20.0, 90.0, 39.81818181818181)","(2.8, 4.9, 4.105)","(16.0, 28.0, 18.666666666666668)","(31.0, 220.0, 120.47058823529412)","(81.0, 580.0, 524.4444444444445)","(2.0, 3.3, 2.731666666666667)"
