,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:09:42.311646,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.44444444444444)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:43.502896,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.44444444444444)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:44.599831,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 35.46666666666667)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:45.904173,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 35.46666666666667)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:47.227064,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 35.46666666666667)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:48.437965,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 35.46666666666667)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:49.942718,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 35.46666666666667)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:51.375479,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 19.555555555555557)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:52.770350,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 19.555555555555557)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:53.893368,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 19.555555555555557)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:55.060907,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.285714285714285)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:56.432033,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.285714285714285)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:57.703592,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 36.0)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:58.887273,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 36.0)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:10:00.127035,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 36.0)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
