,Magical Trav,Wheres The Ford,Two Jabs,Magical Len,Ferocity
08-01-2023 14:05:12.729476,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:13.614523,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:14.419632,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:15.232185,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:16.193781,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:17.180543,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:17.965758,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:18.888526,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:19.782372,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:20.623816,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:21.472197,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:22.327518,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:23.189652,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:24.062040,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:24.980960,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:25.821025,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:26.824120,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:27.807042,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:28.599917,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:29.420821,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:30.287285,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:31.178023,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:32.133220,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:32.960075,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:33.768528,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:34.682541,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:35.559994,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:36.441528,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
