,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:39:32.257771,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:33.169068,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:34.218376,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:35.234566,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 12.333333333333334)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:36.115971,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 12.333333333333334)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:37.127397,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 12.333333333333334)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:38.194891,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 13.5, 12.0)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:39.091216,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 13.5, 12.0)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:40.092006,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:41.150111,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:42.117346,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:43.166206,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:44.134241,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:45.069966,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.0, 13.8)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
